id,id,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual
0,0,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331
1,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131
2,2,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120
3,3,0,2,1,1,0.2,0.212122,0.590435,0.160296,108
4,4,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82
5,5,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88
6,6,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148
7,7,0,6,0,2,0.165,0.162254,0.535833,0.266804,68
8,8,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54
9,9,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41
10,10,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43
11,11,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25
12,12,0,4,1,1,0.165,0.150883,0.470417,0.301,38
13,13,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54
14,14,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222
15,15,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251
16,16,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117
17,17,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9
18,18,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78
19,19,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83
20,20,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75
21,21,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93
22,22,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150
23,23,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86
24,24,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186
25,25,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34
26,26,0,4,1,1,0.195,0.2197,0.6875,0.113837,15
27,27,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38
28,28,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123
29,29,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140
30,30,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42
31,31,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47
32,32,0,3,1,2,0.26,0.254417,0.775417,0.264308,72
33,33,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61
34,34,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88
35,35,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100
36,36,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354
37,37,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120
38,38,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64
39,39,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53
40,40,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47
41,41,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149
42,42,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288
43,43,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397
44,44,0,1,1,1,0.415,0.39835,0.375833,0.417908,208
45,45,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140
46,46,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218
47,47,0,4,1,1,0.435833,0.428658,0.505,0.230104,259
48,48,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579
49,49,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532
50,50,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639
51,51,1,1,0,2,0.303333,0.284075,0.605,0.307846,195
52,52,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74
53,53,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139
54,54,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100
55,55,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120
56,56,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424
57,57,0,0,0,1,0.343478,0.351109,0.68,0.125248,694
58,58,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81
59,59,0,2,1,1,0.266667,0.263879,0.535,0.216425,137
60,60,0,3,1,1,0.335,0.320071,0.449583,0.307833,231
61,61,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123
62,62,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214
63,63,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640
64,64,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114
65,65,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244
66,66,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316
67,67,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191
68,68,0,4,1,3,0.389091,0.385668,0.0,0.261877,46
69,69,0,5,1,2,0.316522,0.305,0.649565,0.23297,247
70,70,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724
71,71,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982
72,72,0,1,1,1,0.325217,0.332,0.496957,0.136926,359
73,73,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289
74,74,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321
75,75,0,4,1,1,0.415,0.410333,0.602917,0.209579,424
76,76,0,5,1,1,0.54,0.527009,0.525217,0.231017,884
77,77,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424
78,78,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047
79,79,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401
80,80,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460
81,81,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203
82,82,0,4,1,2,0.285,0.270833,0.805833,0.243787,166
83,83,0,5,1,1,0.264167,0.256312,0.495,0.230725,300
84,84,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981
85,85,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472
86,86,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222
87,87,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317
88,88,0,3,1,2,0.3,0.29735,0.646667,0.172888,168
89,89,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179
90,90,0,5,1,2,0.3,0.283454,0.68625,0.258708,307
91,91,0,6,0,2,0.315,0.315637,0.65375,0.197146,898
92,92,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651
93,93,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734
94,94,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167
95,95,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413
96,96,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571
97,97,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172
98,98,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879
99,99,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188
100,100,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855
101,101,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257
102,102,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209
103,103,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529
104,104,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642
105,105,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121
106,106,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558
107,107,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669
108,108,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409
109,109,0,3,1,1,0.595,0.564392,0.614167,0.241925,613
110,110,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745
111,111,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177
