id,date,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual
0,2011-01-01,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331
1,2011-01-02,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131
2,2011-01-03,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120
3,2011-01-04,0,2,1,1,0.2,0.212122,0.590435,0.160296,108
4,2011-01-05,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82
5,2011-01-06,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88
6,2011-01-07,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148
7,2011-01-08,0,6,0,2,0.165,0.162254,0.535833,0.266804,68
8,2011-01-09,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54
9,2011-01-10,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41
10,2011-01-11,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43
11,2011-01-12,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25
12,2011-01-13,0,4,1,1,0.165,0.150883,0.470417,0.301,38
13,2011-01-14,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54
14,2011-01-15,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222
15,2011-01-16,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251
16,2011-01-17,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117
17,2011-01-18,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9
18,2011-01-19,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78
19,2011-01-20,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83
20,2011-01-21,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75
21,2011-01-22,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93
22,2011-01-23,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150
23,2011-01-24,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86
24,2011-01-25,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186
25,2011-01-26,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34
26,2011-01-27,0,4,1,1,0.195,0.2197,0.6875,0.113837,15
27,2011-01-28,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38
28,2011-01-29,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123
29,2011-01-30,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140
